"","wiek","lata_eduk","prac_htyg","flaga","rasa_czarna","rasa_inna","rasa_zolta","plec_mezczyzna","form_zatr_pryw_samozatr","form_zatr_pryw_zatr","form_zatr_publ","poz_eduk_podstawowe","poz_eduk_srednie","poz_eduk_wyzsze","branz_zatr_prac_fiz","branz_zatr_profes","branz_zatr_tech_administr","branz_zatr_uslugi","relac_singiel","relac_zwiazek","pochodz_AmPolnocna","pochodz_AmPoludniowa","pochodz_Azja","pochodz_Europa","stan_cyw_malzenstwo","stan_cyw_separacja","wiek_kat_45_54","wiek_kat_pon_30","wiek_kat_pow_55","lata_eduk_kat_11_13","lata_eduk_kat_pon_9","lata_eduk_kat_pow_13","prac_htyg_kat_40_44","prac_htyg_kat_45_59","prac_htyg_kat_pon_30","prac_htyg_kat_pow_60"
"2",39,13,40,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"3",50,13,13,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"4",50,13,13,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"5",50,13,13,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"6",50,13,13,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"7",38,9,40,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"8",53,7,40,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"9",53,7,40,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"10",28,13,40,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"11",28,13,40,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
"12",37,14,40,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"13",49,5,16,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"14",49,5,16,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"15",52,9,45,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"16",52,9,45,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"17",31,14,50,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"18",42,13,40,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"19",42,13,40,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"20",37,10,80,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
